,archive_dict,category_dict,click_num,comments_num,creation_num,description,fan_num,like_num,rank,score,url
10,"[{'2018年11月': '24篇', '2018年10月': '14篇', '2018年9月': '11篇', '2018年6月': '1篇', '2018年3月': '6篇', '2018年1月': '2篇', '2017年12月': '7篇', '2017年11月': '15篇', '2017年10月': '1篇'}]","[{'人工智能': '18篇', '大数据': '18篇', '云计算': '1篇', '项目管理': '4篇', '软件研发': '4篇', '测试': '5篇', '敏捷': '2篇', '人工智能，': '1篇', '人工智能，TensorFlow': '2篇', '软件研发，测试，开发测试，测试直播': '2篇', '大数据书籍': '2篇', '数据分析': '2篇', '失控': '1篇', '数据之美': '1篇', '机器人': '1篇', 'AI': '4篇', '云计算，架构': '1篇', '架构': '1篇'}]",['1万+'],['3'],['73'],[''],['10'],['2'],['6万+'],['882'],https://blog.csdn.net/qq_40558336/
11,"[{'2015年1月': '6篇', '2014年12月': '21篇', '2014年11月': '8篇', '2014年10月': '11篇'}]","[{'python': '1篇', 'matlab': '1篇'}]",['5万+'],['2'],['3'],[''],['15'],['4'],['9万+'],['634'],https://blog.csdn.net/sruixue/
12,"[{'2014年5月': '3篇', '2014年3月': '5篇', '2013年12月': '2篇', '2013年11月': '22篇', '2013年10月': '8篇'}]","[{'算法 数据结构': '15篇', '大数据 数据挖掘': '10篇', '图像处理 计算机视觉': '8篇', '产品': '5篇', '并行计算': '4篇', '面试': '2篇', '软件': '1篇', 'Internet': '1篇', 'python': '2篇', '游戏开发': '3篇'}]",['4万+'],['4'],['15'],['专注于go语言和erlang语言在游戏服务器领域的应用开发'],['21'],['1'],['8万+'],['687'],https://blog.csdn.net/u012337841/
13,"[{'2018年9月': '1篇', '2017年11月': '1篇', '2017年10月': '3篇', '2017年7月': '1篇', '2017年6月': '5篇'}]","[{'python': '8篇', 'python爬虫': '1篇', '自然语言处理': '3篇', '数据分析': '1篇'}]",['4520'],['0'],['10'],[''],['3'],['0'],['118万+'],['142'],https://blog.csdn.net/liying700/
14,"[{'2018年10月': '3篇', '2018年8月': '1篇', '2018年7月': '5篇', '2018年6月': '5篇', '2018年5月': '1篇', '2018年4月': '2篇', '2018年3月': '4篇', '2018年2月': '3篇', '2018年1月': '8篇', '2017年12月': '7篇', '2017年11月': '12篇', '2017年10月': '9篇', '2017年9月': '1篇', '2017年8月': '4篇', '2017年7月': '3篇', '2017年6月': '16篇', '2017年5月': '7篇', '2017年4月': '2篇', '2017年3月': '4篇', '2017年2月': '5篇', '2017年1月': '2篇', '2016年12月': '2篇', '2016年11月': '7篇', '2016年10月': '27篇', '2016年9月': '1篇', '2016年8月': '1篇', '2016年6月': '1篇', '2016年5月': '2篇', '2016年4月': '13篇', '2016年3月': '29篇', '2016年2月': '10篇', '2016年1月': '12篇', '2015年11月': '5篇', '2015年10月': '1篇', '2015年9月': '11篇', '2015年8月': '9篇', '2015年7月': '5篇', '2015年6月': '2篇', '2015年5月': '10篇', '2015年4月': '7篇', '2015年3月': '20篇', '2015年2月': '9篇', '2015年1月': '17篇', '2014年12月': '14篇', '2014年11月': '4篇', '2014年10月': '23篇', '2014年9月': '18篇', '2014年8月': '29篇', '2014年7月': '11篇', '2014年6月': '8篇', '2014年5月': '20篇', '2014年4月': '21篇', '2014年3月': '19篇', '2014年2月': '19篇', '2014年1月': '55篇', '2013年12月': '40篇', '2013年11月': '10篇', '2013年10月': '2篇', '2013年7月': '7篇'}]","[{'嵌入式': '316篇', 'android': '38篇', '云计算': '1篇', 'linux驱动': '60篇', 'linux应用': '106篇', 'linux系统': '61篇', '服装设计': '5篇', '无人机': '29篇', '计算机视觉': '25篇', '人工智能': '10篇', '区块链': '2篇'}]",['69万+'],['44'],['51'],['钻研嵌入式，改变未来'],['145'],"['51', '46']",['3656'],['8204'],https://blog.csdn.net/zdf511391565/
15,"[{'2018年11月': '9篇', '2018年10月': '4篇', '2018年9月': '4篇', '2018年8月': '2篇', '2018年7月': '4篇', '2018年6月': '11篇', '2018年5月': '6篇', '2018年4月': '3篇', '2018年1月': '1篇', '2017年12月': '1篇', '2017年11月': '7篇', '2017年10月': '28篇', '2017年9月': '1篇', '2017年6月': '2篇', '2017年5月': '2篇'}]",['null'],['2万+'],['2'],['81'],[''],['14'],['8'],['5万+'],['1057'],https://blog.csdn.net/msup789/
16,"[{'2018年9月': '12篇', '2018年8月': '10篇', '2018年7月': '15篇'}]","[{'openCV': '25篇', 'Python': '2篇', 'TensorFlow': '9篇', 'Pycharm': '1篇'}]",['17万+'],['2'],['25'],[''],['22'],['38'],['2万+'],['2035'],https://blog.csdn.net/guoyunfei123/
17,"[{'2018å¹´10æœˆ': '1ç¯‡', '2018å¹´8æœˆ': '31ç¯‡', '2018å¹´7æœˆ': '40ç¯‡', '2018å¹´6æœˆ': '18ç¯‡', '2018å¹´5æœˆ': '4ç¯‡', '2018å¹´4æœˆ': '13ç¯‡', '2018å¹´3æœˆ': '27ç¯‡', '2017å¹´11æœˆ': '1ç¯‡', '2017å¹´10æœˆ': '3ç¯‡', '2017å¹´9æœˆ': '6ç¯‡', '2017å¹´7æœˆ': '4ç¯‡', '2017å¹´5æœˆ': '1ç¯‡', '2017å¹´4æœˆ': '4ç¯‡', '2017å¹´3æœˆ': '1ç¯‡', '2017å¹´2æœˆ': '2ç¯‡', '2017å¹´1æœˆ': '2ç¯‡', '2016å¹´12æœˆ': '1ç¯‡', '2016å¹´11æœˆ': '3ç¯‡', '2016å¹´10æœˆ': '1ç¯‡', '2016å¹´9æœˆ': '3ç¯‡', '2016å¹´8æœˆ': '30ç¯‡', '2016å¹´7æœˆ': '22ç¯‡', '2016å¹´6æœˆ': '27ç¯‡', '2016å¹´5æœˆ': '37ç¯‡', '2016å¹´4æœˆ': '30ç¯‡', '2016å¹´3æœˆ': '39ç¯‡', '2016å¹´2æœˆ': '20ç¯‡'}]","[{'Linux': '12ç¯‡', 'ç®—æ³•è®¾è®¡': '116ç¯‡', 'C++': '264ç¯‡', 'Vim': '2ç¯‡', 'è´ªå¿ƒç®—æ³•': '8ç¯‡', 'å›¾è®º': '32ç¯‡', 'è®¡ç®—å‡\xa0ä½•': '4ç¯‡', 'åŠ¨æ€�è§„åˆ’': '35ç¯‡', 'é€’å½’': '10ç¯‡', 'æ•°è®º': '28ç¯‡', 'æ�œç´¢': '27ç¯‡', 'æœ€çŸ\xadè·¯': '7ç¯‡', 'æœ€å°�ç”Ÿæˆ�æ\xa0‘': '6ç¯‡', 'æœ€å¤§æµ�': '5ç¯‡', 'äºŒåˆ†å›¾': '6ç¯‡', 'å¹¶æŸ¥é›†': '4ç¯‡', 'å¿«é€ŸæŸ¥æ‰¾': '2ç¯‡', 'é«˜ç²¾åº¦': '2ç¯‡', 'ç¨‹åº�å‘˜': '3ç¯‡', 'åˆ†æ²»': '3ç¯‡', 'æ�šä¸¾': '2ç¯‡', 'Matlab': '7ç¯‡', 'Android': '2ç¯‡', 'CCF': '18ç¯‡', 'æ“�ä½œç³»ç»Ÿ': '4ç¯‡', 'æ�’åº�': '19ç¯‡', 'ege': '1ç¯‡', 'Objective-C': '1ç¯‡', 'äºŒå�‰æ\xa0‘': '28ç¯‡', 'STL': '7ç¯‡', 'å\xad—ç¬¦ä¸²': '13ç¯‡', 'æ·±åº¦å\xad¦ä¹': '11ç¯‡', 'Cocos2d-x': '1ç¯‡', 'ä¹�åº¦OJ': '67ç¯‡', 'MIPS': '1ç¯‡', 'æœºå™¨å\xad¦ä¹': '8ç¯‡', 'æ•°æ�®åº“': '1ç¯‡', 'java': '1ç¯‡', 'é�¢è¯•': '1ç¯‡', 'è®¡ç®—æœºç½‘ç»œ': '1ç¯‡', 'å��ä¸ºOJ': '5ç¯‡', 'è®¾è®¡æ¨¡å¼�': '1ç¯‡', 'python': '28ç¯‡', 'Qt': '5ç¯‡', 'éŸ³é¢‘å¤„ç�†': '6ç¯‡', 'ç¥�ç»�ç½‘ç»œ': '8ç¯‡', 'æ•°å\xad¦': '9ç¯‡', 'è“�æ¡¥æ�¯': '25ç¯‡', 'PyTorch': '3ç¯‡', 'LeetCode': '94ç¯‡', 'opencv': '1ç¯‡'}]",[],[],[],['å¾…åˆ°å±±èŠ±çƒ‚æ¼«æ—¶ï¼Œå¥¹åœ¨ä¸›ä¸\xadç¬‘'],[],[],[],[],https://blog.csdn.net/Jaster_wisdom/
18,"[{'2018年11月': '1篇', '2018年10月': '4篇', '2018年9月': '20篇', '2018年8月': '37篇', '2018年7月': '45篇', '2018年6月': '4篇', '2018年5月': '2篇', '2018年2月': '1篇', '2018年1月': '15篇', '2017年12月': '8篇', '2017年11月': '6篇'}]","[{'Rcode': '11篇', 'Rpackage': '6篇', 'Python': '16篇', 'SQL': '19篇', 'Excel': '8篇', 'Rscript': '4篇', '数据分析': '46篇', 'R可视化': '6篇', 'shell': '3篇', 'Hive': '15篇', 'PM': '3篇', 'Linus': '2篇', 'SPSS': '2篇', '面试': '5篇'}]",['2万+'],['5'],['139'],['为菜某打call'],['13'],['9'],['3万+'],['1610'],https://blog.csdn.net/TOMOCAT/
19,"[{'2018年7月': '1篇', '2018年6月': '3篇', '2018年5月': '1篇', '2017年12月': '1篇', '2017年10月': '1篇', '2017年8月': '1篇', '2017年5月': '8篇', '2017年4月': '2篇', '2017年3月': '2篇', '2017年2月': '1篇', '2016年11月': '1篇', '2016年10月': '3篇', '2016年9月': '8篇', '2016年8月': '4篇', '2016年7月': '12篇', '2016年5月': '1篇', '2016年2月': '16篇', '2016年1月': '12篇', '2015年12月': '18篇', '2015年9月': '5篇', '2015年8月': '1篇', '2015年6月': '1篇', '2015年5月': '5篇', '2015年4月': '4篇', '2015年2月': '1篇', '2015年1月': '1篇', '2014年11月': '2篇', '2014年10月': '1篇', '2014年9月': '10篇', '2014年8月': '16篇', '2014年7月': '5篇', '2014年6月': '6篇', '2014年5月': '9篇', '2014年4月': '6篇', '2014年3月': '11篇', '2014年2月': '5篇', '2014年1月': '16篇', '2013年12月': '28篇', '2013年11月': '17篇', '2013年10月': '5篇', '2013年9月': '3篇', '2013年8月': '14篇', '2013年7月': '18篇', '2013年6月': '23篇', '2013年5月': '9篇', '2013年4月': '13篇', '2013年3月': '25篇', '2013年2月': '12篇', '2013年1月': '22篇', '2012年12月': '20篇', '2012年11月': '29篇', '2012年10月': '13篇', '2012年9月': '11篇', '2012年8月': '5篇', '2012年7月': '11篇', '2012年6月': '22篇', '2012年5月': '7篇', '2012年4月': '23篇', '2012年3月': '18篇', '2012年2月': '13篇', '2012年1月': '12篇', '2011年12月': '21篇', '2011年11月': '18篇', '2011年10月': '31篇', '2011年9月': '18篇', '2011年8月': '3篇', '2011年7月': '3篇', '2011年6月': '15篇', '2011年5月': '7篇', '2011年4月': '16篇', '2011年3月': '18篇', '2011年2月': '6篇', '2011年1月': '2篇', '2010年12月': '23篇', '2010年11月': '7篇', '2010年10月': '7篇', '2010年9月': '19篇', '2010年7月': '5篇', '2010年6月': '3篇', '2010年5月': '13篇', '2010年4月': '10篇', '2009年11月': '2篇'}]","[{'golang': '22篇', '云计算/大数据': '92篇', 'IOS 常规': '23篇', 'Android 常规': '47篇', '重构C/C++': '151篇', '重构Java': '15篇', '技术面经': '20篇', 'Coding实战': '13篇', 'Web网站设计': '81篇', 'Android 多媒体': '56篇', 'PKU Research': '65篇', '开源硬件Raspberry': '18篇', '流媒体基础': '51篇', 'Ubuntu/OS X系统': '103篇', '杂记/八卦': '67篇'}]",['272万+'],['291'],['456'],['解决一些遇到的小麻烦'],['684'],['63'],['299'],['2万+'],https://blog.csdn.net/scut1135/
20,"[{'2017年2月': '8篇', '2016年11月': '2篇', '2016年9月': '3篇', '2016年8月': '3篇', '2014年1月': '1篇', '2013年11月': '5篇', '2013年10月': '21篇', '2013年9月': '1篇'}]","[{'徐海蛟教学': '36篇', '他山之石': '6篇', '徐海蛟': '15篇', '徐海蛟博士': '8篇'}]",['10万+'],['9'],['8'],['徐海蛟博士，华中科技大学计算机博士，数据与软件工程实验室，前外企技术总监CTO，深圳电信培训中心首席技术顾问、高级讲师、高级工程师、杰出讲师，深圳电信数据库Oracle特聘讲师、顾问，丰富的大型数据库...'],['75'],['13'],['5万+'],['1159'],https://blog.csdn.net/u012260637/
21,"[{'2015年6月': '8篇', '2015年5月': '4篇', '2015年4月': '6篇', '2015年3月': '3篇', '2015年1月': '2篇', '2014年12月': '12篇', '2014年11月': '15篇', '2014年10月': '12篇', '2014年9月': '16篇', '2014年8月': '8篇', '2014年7月': '4篇', '2014年5月': '5篇', '2014年4月': '8篇'}]","[{'C++基础': '31篇', '数据结构': '12篇', 'ACM 算法': '21篇', '多线程 同步': '1篇', '设计模式': '1篇', 'Hadoop': '34篇', '招聘信息': '1篇', '机器学习': '4篇', 'makefile': '2篇', 'linux': '9篇', '电脑杂谈': '3篇', '剑指offer 面试': '3篇', 'Hadoop 面试': '1篇', 'Python': '2篇'}]",['12万+'],['10'],['102'],['点滴积累'],['23'],['6'],['2万+'],['2305'],https://blog.csdn.net/u011561690/
22,"[{'2018年3月': '4篇', '2018年2月': '8篇', '2018年1月': '3篇', '2017年11月': '1篇'}]","[{'ML_DL_NLP': '6篇', '软件安装': '1篇', 'AI_ML': '2篇', 'SQL Server and ML': '6篇'}]",['6547'],['0'],['17'],['一位热衷人工智能的学者'],['10'],['14'],['38万+'],['213'],https://blog.csdn.net/WQ963369/
23,"[{'2018年11月': '3篇', '2018年10月': '3篇', '2018年9月': '2篇', '2018年8月': '4篇', '2018年6月': '3篇', '2018年5月': '10篇', '2018年4月': '2篇', '2018年1月': '3篇', '2017年12月': '2篇', '2017年11月': '1篇', '2017年9月': '8篇', '2017年8月': '8篇', '2017年7月': '9篇', '2017年6月': '5篇', '2017年5月': '5篇', '2017年4月': '5篇', '2017年3月': '5篇', '2017年2月': '13篇', '2017年1月': '4篇', '2016年12月': '13篇', '2016年11月': '2篇', '2016年10月': '4篇', '2016年9月': '6篇', '2016年8月': '4篇', '2016年7月': '1篇', '2016年6月': '11篇', '2016年5月': '13篇', '2016年4月': '7篇', '2016年3月': '2篇'}]","[{'立体视觉': '13篇', 'C++': '29篇', 'OpenCV': '27篇', '特征点检测': '6篇', 'Linux': '9篇', 'HTML': '1篇', 'CSS3': '5篇', '学习': '43篇', 'Matlab': '11篇', 'GPU': '2篇', 'c语言': '1篇', '神经网络': '2篇', '机器学习': '24篇', 'python': '15篇'}]",['44万+'],['59'],['109'],['好好学习，天天向上'],['191'],"['109', '243']",['8177'],['5098'],https://blog.csdn.net/laobai1015/
24,"[{'2018年7月': '5篇', '2018年3月': '1篇', '2018年1月': '1篇'}]",['null'],['1万+'],['0'],['2'],[''],['4'],['4'],['118万+'],['143'],https://blog.csdn.net/qq_37023388/
25,"[{'2018年11月': '1篇', '2015年3月': '1篇', '2014年8月': '2篇'}]",['null'],['2429'],['0'],['2'],[''],['0'],['0'],['188万+'],['47'],https://blog.csdn.net/u012851870/
26,"[{'2018年7月': '1篇', '2018年1月': '1篇', '2017年9月': '3篇', '2017年8月': '1篇', '2017年7月': '4篇', '2017年6月': '1篇'}]","[{'机器学习算法原理与编程实践': '3篇', '计算机视觉 论文阅读': '1篇', '工程实践': '5篇', '算法': '1篇', 'caffe源代码阅读': '1篇'}]",['6960'],['0'],['9'],[''],['6'],['6'],['110万+'],['169'],https://blog.csdn.net/weixin_36612847/
27,"[{'2018年9月': '2篇', '2018年8月': '4篇', '2018年7月': '1篇', '2018年6月': '3篇', '2018年3月': '2篇', '2017年12月': '2篇'}]","[{'机器学习': '4篇', 'Tensorflow': '3篇', '网络分析': '5篇', '运维': '2篇'}]",['2万+'],['3'],['14'],[''],['13'],['7'],['24万+'],['355'],https://blog.csdn.net/limiyudianzi/
28,"[{'2016年8月': '1篇', '2015年9月': '1篇', '2014年10月': '1篇', '2014年8月': '14篇', '2014年7月': '5篇', '2014年6月': '1篇'}]",['null'],['1万+'],['1'],['3'],[''],['18'],"['3', '0']",['94万+'],['194'],https://blog.csdn.net/aboluo321321/
29,"[{'2018年11月': '2篇', '2018年10月': '7篇', '2018年9月': '3篇', '2018年8月': '3篇', '2018年7月': '24篇', '2018年6月': '1篇', '2018年5月': '6篇', '2018年4月': '8篇', '2018年3月': '23篇', '2018年2月': '4篇', '2018年1月': '31篇', '2017年12月': '55篇', '2017年11月': '5篇', '2017年10月': '12篇', '2017年9月': '12篇', '2017年8月': '4篇', '2017年7月': '6篇', '2017年5月': '2篇'}]","[{'机器学习篇': '4篇', '数据结构与算法篇': '27篇', '操作系统篇': '10篇', '学习笔记': '21篇', 'java篇': '50篇', 'spring': '14篇', 'python篇': '2篇', 'C/C++篇': '7篇', '杂记': '65篇'}]",['13万+'],['10'],['167'],['个人的学习笔记，如有问题，敬请斧正'],['24'],['9'],['2万+'],['2619'],https://blog.csdn.net/yin__ren/
30,"[{'2018年11月': '3篇', '2018年10月': '1篇', '2018年9月': '2篇', '2018年8月': '1篇', '2018年7月': '6篇', '2018年5月': '6篇', '2018年4月': '5篇', '2018年3月': '6篇', '2018年2月': '4篇', '2018年1月': '10篇', '2017年12月': '13篇', '2017年11月': '6篇', '2017年10月': '7篇', '2017年9月': '63篇', '2017年8月': '11篇', '2017年7月': '11篇', '2017年6月': '18篇', '2017年5月': '3篇', '2017年4月': '9篇', '2017年1月': '2篇', '2016年12月': '1篇', '2016年11月': '3篇', '2016年10月': '3篇', '2016年9月': '3篇', '2016年8月': '3篇', '2016年7月': '6篇', '2016年6月': '2篇', '2016年4月': '1篇', '2016年3月': '6篇', '2016年2月': '5篇', '2016年1月': '11篇', '2015年12月': '19篇', '2015年11月': '5篇', '2015年10月': '6篇', '2015年9月': '8篇', '2015年8月': '6篇'}]","[{'数据库': '16篇', 'C': '23篇', 'C++': '34篇', 'VC++': '54篇', 'Python': '56篇', 'Pycharm': '45篇', 'VBA': '19篇', 'excel': '5篇', 'Linux': '1篇', '正则表达式': '2篇', '算法': '13篇', '架构': '4篇', '射频': '2篇', 'PM': '1篇', 'xml': '2篇', 'bat': '1篇', 'ML': '5篇', 'Interview': '5篇', 'Android APP': '2篇'}]",['23万+'],['13'],['126'],[''],['52'],['24'],['1万+'],['3747'],https://blog.csdn.net/Gordennizaicunzai/
31,"[{'2018年9月': '1篇', '2018年8月': '4篇', '2018年7月': '4篇', '2018年6月': '3篇', '2018年5月': '2篇', '2018年1月': '10篇', '2017年12月': '2篇', '2017年11月': '2篇', '2017年10月': '1篇', '2017年9月': '2篇', '2017年8月': '5篇', '2017年2月': '1篇', '2017年1月': '4篇', '2016年12月': '3篇', '2016年11月': '1篇', '2016年10月': '1篇', '2016年9月': '4篇', '2016年8月': '4篇', '2016年7月': '2篇', '2016年6月': '2篇', '2016年5月': '3篇', '2015年11月': '3篇', '2015年10月': '5篇', '2015年9月': '1篇', '2015年7月': '5篇', '2015年6月': '1篇', '2015年5月': '1篇', '2015年4月': '8篇', '2014年10月': '1篇', '2014年7月': '1篇'}]","[{'spark': '37篇', 'hadoop': '6篇', '数据挖据': '3篇', '机器学习': '8篇', 'hive': '2篇', 'MongoDB': '2篇', 'Java': '4篇', 'scala': '10篇', 'Python': '4篇', '特征工程': '3篇', '数据处理': '3篇', '图处理': '1篇', 'Git': '1篇', 'linux': '1篇', 'mysql': '2篇', 'Hbase': '1篇', 'Kafka': '1篇', 'Flume': '1篇', 'Yarn': '1篇', 'ZooKeeper': '1篇', 'sqoop': '1篇', '分布式系统': '8篇', '数据库': '1篇', '论文导读': '5篇', 'maven': '2篇'}]",['31万+'],['17'],['10'],['To make all artificial intelligience platforms and big data systems safe ! To make all computer tech...'],['51'],['47'],['3万+'],['1777'],https://blog.csdn.net/zy_zhengyang/
32,"[{'2018年11月': '1篇', '2018年9月': '3篇', '2018年6月': '4篇'}]","[{'machine learning': '3篇', 'sql': '1篇', 'LeetCode': '2篇', '计算机网络': '1篇'}]",['447'],['0'],['8'],[''],['0'],['0'],['157万+'],['85'],https://blog.csdn.net/yeshen4328/
33,"[{'2018年7月': '1篇', '2018年5月': '1篇', '2017年11月': '1篇', '2017年10月': '2篇'}]","[{'机器学习': '2篇', '自然语言处理': '2篇', 'NLPIR': '1篇'}]",['1843'],['0'],['4'],[''],['2'],['4'],['169万+'],['60'],https://blog.csdn.net/weixin_39885687/
